Low variance filter| Parameters: Variance threshold = 20
Number of columns before,Number of columns after
156,11
Low variance filter| Parameters: Variance threshold = 40
Number of columns before,Number of columns after
156,10
Low variance filter| Parameters: Variance threshold = 60
Number of columns before,Number of columns after
156,10
Low variance filter| Parameters: Variance threshold = 80
Number of columns before,Number of columns after
156,9
Random Forest reduction| Parameters: Number of features = 5; Random state = 1; Max depth = 10
Number of columns before,Number of columns after
156,5
Random Forest reduction| Parameters: Number of features = 8; Random state = 1; Max depth = 10
Number of columns before,Number of columns after
156,8
Random Forest reduction| Parameters: Number of features = 10; Random state = 1; Max depth = 10
Number of columns before,Number of columns after
156,10
PCA| Parameters: Number of components = 39
Number of columns before,Number of columns after
156,39
PCA| Parameters: Number of components = 78
Number of columns before,Number of columns after
156,78
PCA| Parameters: Number of components = 117
Number of columns before,Number of columns after
156,117
Factor Analysis| Parameters: Number of components = 39
Number of columns before,Number of columns after
156,39
Factor Analysis| Parameters: Number of components = 78
Number of columns before,Number of columns after
156,78
Factor Analysis| Parameters: Number of components = 117
Number of columns before,Number of columns after
156,117
