Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 20,Decision Tree Regression | Parameters: random_state=10;,0.101,0.847
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 20,Multiple Linear Regression | Parameters: default,0.515,0.221
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 20,Random Forest Regression | Parameters: n_estimators=20;random_state=1;,0.053,0.92
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 20,Elastic Regression | Parameters: alpha=0.1;max_iter=10000;,0.515,0.221
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 20,XG Boost Regression | Parameters: alpha=10;colsample_bytree=0.8;learning_rate=0.1;max_depth=5;n_estimators=10;objective=reg:squarederror;,0.469,0.29
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 20,PCA Regression | Parameters: default,0.515,0.221
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 40,Decision Tree Regression | Parameters: random_state=1;,0.14,0.788
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 40,Multiple Linear Regression | Parameters: default,0.523,0.209
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 40,Random Forest Regression | Parameters: n_estimators=20;random_state=2;,0.072,0.892
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 40,Elastic Regression | Parameters: alpha=0.01;max_iter=10000;,0.523,0.209
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 40,XG Boost Regression | Parameters: alpha=10;colsample_bytree=0.8;learning_rate=0.1;max_depth=5;n_estimators=10;objective=reg:squarederror;,0.502,0.241
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 40,PCA Regression | Parameters: default,0.522,0.21
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 60,Decision Tree Regression | Parameters: random_state=1;,0.14,0.788
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 60,Multiple Linear Regression | Parameters: default,0.523,0.209
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 60,Random Forest Regression | Parameters: n_estimators=20;random_state=2;,0.072,0.892
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 60,Elastic Regression | Parameters: alpha=0.01;max_iter=10000;,0.523,0.209
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 60,XG Boost Regression | Parameters: alpha=10;colsample_bytree=0.8;learning_rate=0.1;max_depth=5;n_estimators=10;objective=reg:squarederror;,0.502,0.241
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 60,PCA Regression | Parameters: default,0.522,0.21
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 80,Decision Tree Regression | Parameters: random_state=1;,0.106,0.84
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 80,Multiple Linear Regression | Parameters: default,0.524,0.207
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 80,Random Forest Regression | Parameters: n_estimators=20;random_state=2;,0.072,0.891
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 80,Elastic Regression | Parameters: alpha=0.1;max_iter=10000;,0.524,0.207
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 80,XG Boost Regression | Parameters: alpha=10;colsample_bytree=0.8;learning_rate=0.1;max_depth=5;n_estimators=10;objective=reg:squarederror;,0.512,0.225
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 80,PCA Regression | Parameters: default,0.524,0.207
