Agricultural methane emission
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Agricultural methane emissions (% of total) - Total number of data,Agricultural methane emissions (% of total) - Total number of missing data,Agricultural methane emissions (% of total) - Total percent of missing data
"Country Code, Year, Agricultural methane emissions (% of total)",1990-2017,135,2004,8,65.25,3780,1234,32.65
CO emissions per capita
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Per capita COa emissions (tonnes per capita) - Total number of data,Per capita COa emissions (tonnes per capita) - Total number of missing data,Per capita COa emissions (tonnes per capita) - Total percent of missing data
"Country Code, Year, Per capita COa emissions (tonnes per capita)",1990-2017,135,2004,8,65.25,3780,6,0.16
Coruption perception index
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,corruption_index - Total number of data,corruption_index - Total number of missing data,corruption_index - Total percent of missing data
"Country Code, Year, corruption_index",1990-2017,135,2004,8,65.25,3780,1583,41.88
Daily per capita supply of calories
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Daily caloric supply (kcal/person/day) - Total number of data,Daily caloric supply (kcal/person/day) - Total number of missing data,Daily caloric supply (kcal/person/day) - Total percent of missing data
"Country Code, Year, Daily caloric supply (kcal/person/day)",1990-2017,135,2004,8,65.25,3780,600,15.87
Death rate
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,"Death rate, crude (per 1,000 people) - Total number of data","Death rate, crude (per 1,000 people) - Total number of missing data","Death rate, crude (per 1,000 people) - Total percent of missing data"
"Country Code, Year, Death rate, crude (per 1,000 people)",1990-2017,135,2004,8,65.25,3780,0,0.0
Electricity
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Access to electricity (% of population) - Total number of data,Access to electricity (% of population) - Total number of missing data,Access to electricity (% of population) - Total percent of missing data
"Country Code, Year, Access to electricity (% of population)",1990-2017,135,2004,8,65.25,3780,588,15.56
Employers percentage
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,"Employers, total (% of total employment) (modeled ILO estimate) - Total number of data","Employers, total (% of total employment) (modeled ILO estimate) - Total number of missing data","Employers, total (% of total employment) (modeled ILO estimate) - Total percent of missing data"
"Country Code, Year, Employers, total (% of total employment) (modeled ILO estimate)",1990-2017,135,2004,8,65.25,3780,2565,67.86
Fertility rate bitrth per women
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,"Fertility rate, total (births per woman) - Total number of data","Fertility rate, total (births per woman) - Total number of missing data","Fertility rate, total (births per woman) - Total percent of missing data"
"Country Code, Year, Fertility rate, total (births per woman)",1990-2017,135,2004,8,65.25,3780,0,0.0
Freedom of the press data
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Total Score - Total number of data,Total Score - Total number of missing data,Total Score - Total percent of missing data
"Country Code, Year, Total Score",1990-2017,135,2004,8,65.25,3780,556,14.71
Global media freedom
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Mediascore - Total number of data,Mediascore - Total number of missing data,Mediascore - Total percent of missing data
"Year, Country Code, Mediascore",1990-2017,135,2004,8,65.25,3780,450,11.9
Human rights scores
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Human Rights Protection Scores - Total number of data,Human Rights Protection Scores - Total number of missing data,Human Rights Protection Scores - Total percent of missing data
"Country Code, Year, Human Rights Protection Scores",1990-2017,135,2004,8,65.25,3780,13,0.34
Inflation
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,inflation - Total number of data,inflation - Total number of missing data,inflation - Total percent of missing data
"Country Code, Year, inflation",1990-2017,135,2003,8,65.3,3797,910,23.97
Internet users filtered
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,internet_usage - Total number of data,internet_usage - Total number of missing data,internet_usage - Total percent of missing data
"Country Code, Year, internet_usage",1990-2017,135,2004,8,65.25,3780,587,15.53
Military expenditure
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Military expenditure (% of GDP) - Total number of data,Military expenditure (% of GDP) - Total number of missing data,Military expenditure (% of GDP) - Total percent of missing data
"Country Code, Year, Military expenditure (% of GDP)",1990-2017,135,2004,8,65.25,3780,544,14.39
Population density
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Population density (people per sq. km of land area) - Total number of data,Population density (people per sq. km of land area) - Total number of missing data,Population density (people per sq. km of land area) - Total percent of missing data
"Country Code, Year, Population density (people per sq. km of land area)",1990-2017,135,2004,8,65.25,3780,51,1.35
PTS
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,PTS - Total number of data,PTS - Total number of missing data,PTS - Total percent of missing data
"Country Code, Year, PTS",1990-2017,135,2004,8,65.25,3780,59,1.56
Shares of suicides
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Deaths - Self-harm - Sex: Both - Age: All Ages (Percent) (%) - Total number of data,Deaths - Self-harm - Sex: Both - Age: All Ages (Percent) (%) - Total number of missing data,Deaths - Self-harm - Sex: Both - Age: All Ages (Percent) (%) - Total percent of missing data
"Country Code, Year, Deaths - Self-harm - Sex: Both - Age: All Ages (Percent) (%)",1990-2017,135,2004,8,65.25,3780,0,0.0
Alcohol or drug use disorders
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Prevalence - Alcohol and substance use disorders: Both (age-standardized percent) (%) - Total number of data,Prevalence - Alcohol and substance use disorders: Both (age-standardized percent) (%) - Total number of missing data,Prevalence - Alcohol and substance use disorders: Both (age-standardized percent) (%) - Total percent of missing data
"Country Code, Year, Prevalence - Alcohol and substance use disorders: Both (age-standardized percent) (%)",1990-2017,135,2004,8,65.25,3780,135,3.57
Eating disorder
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent) (%) - Total number of data,Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent) (%) - Total number of missing data,Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent) (%) - Total percent of missing data
"Country Code, Year, Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent) (%)",1990-2017,135,2004,8,65.25,3780,0,0.0
Share with depression
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent) (%) - Total number of data,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent) (%) - Total number of missing data,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent) (%) - Total percent of missing data
"Country Code, Year, Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent) (%)",1990-2017,135,2004,8,65.25,3780,0,0.0
Mental and substance disorders
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Prevalence - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Percent) (%) - Total number of data,Prevalence - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Percent) (%) - Total number of missing data,Prevalence - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Percent) (%) - Total percent of missing data
"Country Code, Year, Prevalence - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Percent) (%)",1990-2017,135,2004,8,65.25,3780,0,0.0
Unemployment
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,"Unemployment, total (% of total labor force) (national estimate) - Total number of data","Unemployment, total (% of total labor force) (national estimate) - Total number of missing data","Unemployment, total (% of total labor force) (national estimate) - Total percent of missing data"
"Country Code, Year, Unemployment, total (% of total labor force) (national estimate)",1990-2017,135,2004,8,65.25,3780,1747,46.22
Urban population growth
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,urban_population_growth_percent - Total number of data,urban_population_growth_percent - Total number of missing data,urban_population_growth_percent - Total percent of missing data
"Country Code, Year, urban_population_growth_percent",1990-2017,135,2004,8,65.25,3780,4,0.11
